full_name,party,offical_post,constituency,twitter_handle,uri,last_updated
"Mike Crockart MP","Liberal Democrat","","Edinburgh West","https://twitter.com/CrockartMP","URI_UNKNOWN",2014-04-15T16:08:56+01:00
"Tracey Crouch MP","Conservative","","Chatham and Aylesford","https://twitter.com/tracey_crouch","http://dbpedia.org/resource/Tracey_Crouch",2014-04-15T16:08:56+01:00
"Jon Cruddas MP","Labour","","Dagenham and Rainham","https://twitter.com/JonCruddasMP","http://dbpedia.org/resource/Jon_Cruddas",2014-04-15T16:08:56+01:00
"John Cryer","Labour","","Leyton and Wanstead","TWITTER_UNKNOWN","http://dbpedia.org/resource/John_Cryer",2014-04-15T16:08:56+01:00
"Alex Cunningham MP","Labour","","Stockton North","https://twitter.com/ACunninghamMP","http://dbpedia.org/resource/Alex_Cunningham",2014-04-15T16:08:57+01:00
"Mr Jim Cunningham MP","Labour","","Coventry South","TWITTER_UNKNOWN","http://dbpedia.org/resource/Jim_Cunningham_(UK_politician)",2014-04-15T16:08:57+01:00
"Sir Tony Cunningham MP","Labour","","Workington","https://twitter.com/tcunninghammp1","http://dbpedia.org/resource/Tony_Cunningham",2014-04-15T16:08:57+01:00
"Margaret Curran MP","Labour","Shadow Secretary of State for Scotland","Glasgow East","https://twitter.com/Margaret_Curran","http://dbpedia.org/resource/Margaret_Curran",2014-04-15T16:08:57+01:00
"Nic Dakin MP","Labour","","Scunthorpe","https://twitter.com/NicDakinMP","http://dbpedia.org/resource/Nic_Dakin",2014-04-15T16:08:58+01:00
"Simon Danczuk MP","Labour","","Rochdale","https://twitter.com/SimonDanczuk","http://dbpedia.org/resource/Simon_Danczuk",2014-04-15T16:08:58+01:00
"Rt Hon Alistair Darling MP","Labour","","Edinburgh South West","TWITTER_UNKNOWN","http://dbpedia.org/resource/Alistair_Darling",2014-04-15T16:08:58+01:00
"Rt Hon Edward Davey MP","Liberal Democrat","The Secretary of State for Energy and Climate Change","Kingston and Surbiton","https://twitter.com/EdwardDaveyMP","http://dbpedia.org/resource/Edward_Davey",2014-04-15T16:08:58+01:00
"Wayne David MP","Labour","","Caerphilly","https://twitter.com/WayneDavidMP","http://dbpedia.org/resource/Wayne_David",2014-04-15T16:08:59+01:00
"Mr Ian Davidson MP","Labour (Co-op)","","Glasgow South West","https://twitter.com/IanDavidsonMP","http://dbpedia.org/resource/Ian_Davidson_(Scottish_politician)",2014-04-15T16:08:59+01:00
"David T. C. Davies MP","Conservative","","Monmouth","https://twitter.com/davidtcdavies","URI_UNKNOWN",2014-04-15T16:08:59+01:00
"Geraint Davies","Labour (Co-op)","","Swansea West","https://twitter.com/GeraintDaviesMP","http://dbpedia.org/resource/Geraint_Davies_(Labour_politician)",2014-04-15T16:08:59+01:00
"Glyn Davies MP","Conservative","","Montgomeryshire","https://twitter.com/GlynDaviesMP","http://dbpedia.org/resource/Glyn_Davies_(politician)",2014-04-15T16:08:59+01:00
"Philip Davies MP","Conservative","","Shipley","https://twitter.com/PhilipDaviesMP","http://dbpedia.org/resource/Philip_Davies",2014-04-15T16:09:00+01:00
"Rt Hon David Davis","Conservative","","Haltemprice and Howden","TWITTER_UNKNOWN","http://dbpedia.org/resource/David_Davis_(British_politician)",2014-04-15T16:09:00+01:00
"Nick de Bois MP","Conservative","","Enfield North","https://twitter.com/nickdebois","URI_UNKNOWN",2014-04-15T16:09:00+01:00
"Gloria De Piero MP","Labour","Shadow Minister for Women and Equalities","Ashfield","https://twitter.com/GloriaDePieroMP","URI_UNKNOWN",2014-04-15T16:09:01+01:00
"Rt Hon John Denham MP","Labour","","Southampton, Itchen","https://twitter.com/JohnDenhamMP","http://dbpedia.org/resource/John_Denham_(politician)",2014-04-15T16:09:01+01:00
"Caroline Dinenage MP","Conservative","","Gosport","https://twitter.com/cj_dinenage","http://dbpedia.org/resource/Caroline_Dinenage",2014-04-15T16:09:01+01:00
"Mr Jonathan Djanogly MP","Conservative","","Huntingdon","https://twitter.com/JDjanogly","http://dbpedia.org/resource/Jonathan_Djanogly",2014-04-15T16:09:02+01:00
"Jim Dobbin MP","Labour (Co-op)","","Heywood and Middleton","TWITTER_UNKNOWN","http://dbpedia.org/resource/Jim_Dobbin",2014-04-15T16:09:02+01:00
"Rt Hon Frank Dobson MP","Labour","","Holborn and St Pancras","TWITTER_UNKNOWN","http://dbpedia.org/resource/Frank_Dobson",2014-04-15T16:09:03+01:00
"Thomas Docherty MP","Labour","","Dunfermline and West Fife","https://twitter.com/Thomas_Docherty","http://dbpedia.org/resource/Thomas_Docherty_(politician)",2014-04-15T16:09:03+01:00
"Rt Hon Nigel Dodds MP","Democratic Unionist","Shadow Spokesperson (Foreign and Commonwealth Affairs)","Belfast North","https://twitter.com/NigelDoddsMP","http://dbpedia.org/resource/Nigel_Dodds",2014-04-15T16:09:03+01:00
"Mr Pat Doherty MP","Sinn Fein","","West Tyrone","TWITTER_UNKNOWN","http://dbpedia.org/resource/Pat_Doherty",2014-04-15T16:09:03+01:00
"Rt Hon Jeffrey M. Donaldson MP","Democratic Unionist","Shadow DUP Spokesperson (Defence)","Lagan Valley","https://twitter.com/J_Donaldson_MP","URI_UNKNOWN",2014-04-15T16:09:04+01:00
"Mr Brian H. Donohoe MP","Labour","","Central Ayrshire","TWITTER_UNKNOWN","URI_UNKNOWN",2014-04-15T16:09:04+01:00
"Mr Frank Doran","Labour","","Aberdeen North","TWITTER_UNKNOWN","http://dbpedia.org/resource/Frank_Doran_(Scottish_Labour_politician)",2014-04-15T16:09:04+01:00
"Rt Hon Stephen Dorrell MP","Conservative","","Charnwood","TWITTER_UNKNOWN","http://dbpedia.org/resource/Stephen_Dorrell",2014-04-15T16:09:04+01:00
"Nadine Dorries MP","Conservative","","Mid Bedfordshire","https://twitter.com/NadineDorriesMP","http://dbpedia.org/resource/Nadine_Dorries",2014-04-15T16:09:05+01:00
"Stephen Doughty MP","Labour (Co-op)","","Cardiff South and Penarth","https://twitter.com/SDoughtyMP","URI_UNKNOWN",2014-04-15T16:09:05+01:00
"Jim Dowd MP","Labour","","Lewisham West and Penge","TWITTER_UNKNOWN","http://dbpedia.org/resource/Jim_Dowd_(politician)",2014-04-15T16:09:05+01:00
"Gemma Doyle MP","Labour (Co-op)","","West Dunbartonshire","https://twitter.com/GemmaWDMP","http://dbpedia.org/resource/Gemma_Doyle",2014-04-15T16:09:05+01:00
"Jackie Doyle-Price MP","Conservative","","Thurrock","https://twitter.com/JACKIEDP","http://dbpedia.org/resource/Jackie_Doyle-Price",2014-04-15T16:09:06+01:00
"Richard Drax MP","Conservative","","South Dorset","TWITTER_UNKNOWN","http://dbpedia.org/resource/Richard_Drax",2014-04-15T16:09:06+01:00
"Jack Dromey MP","Labour","Shadow Minister (Home Affairs)","Birmingham, Erdington","https://twitter.com/JackDromeyMP","http://dbpedia.org/resource/Jack_Dromey",2014-04-15T16:09:06+01:00
"James Duddridge MP","Conservative","","Rochford and Southend East","https://twitter.com/JamesDuddridge","http://dbpedia.org/resource/James_Duddridge",2014-04-15T16:09:06+01:00
"Michael Dugher MP","Labour","Shadow Minister for the Cabinet Office","Barnsley East","https://twitter.com/MichaelDugherMP","http://dbpedia.org/resource/Michael_Dugher",2014-04-15T16:09:07+01:00
"Rt Hon Alan Duncan MP","Conservative","","Rutland and Melton","TWITTER_UNKNOWN","http://dbpedia.org/resource/Alan_Duncan",2014-04-15T16:09:07+01:00
"Rt Hon Iain Duncan Smith MP","Conservative","","Chingford and Woodford Green","TWITTER_UNKNOWN","http://dbpedia.org/resource/Iain_Duncan_Smith",2014-04-15T16:09:07+01:00
"Mr Philip Dunne MP","Conservative","The Parliamentary Under-Secretary of State for Defence","Ludlow","TWITTER_UNKNOWN","http://dbpedia.org/resource/Philip_Dunne_(politician)",2014-04-15T16:09:07+01:00
"Mark Durkan MP","Social Democratic & Labour Party","Shadow SDLP Spokesperson (Treasury)","Foyle","https://twitter.com/markdurkan","http://dbpedia.org/resource/Mark_Durkan",2014-04-15T16:09:08+01:00
"Ms Angela Eagle MP","Labour","Shadow Leader of the House of Commons","Wallasey","https://twitter.com/angelaeagle","http://dbpedia.org/resource/Angela_Eagle",2014-04-15T16:09:08+01:00
"Maria Eagle MP","Labour","Shadow Secretary of State for Environment, Food and Rural Affairs","Garston and Halewood","https://twitter.com/meaglemp","http://dbpedia.org/resource/Maria_Eagle",2014-04-15T16:09:08+01:00
"Jonathan Edwards MP","Plaid Cymru","Shadow PC Spokesperson (Wales)","Carmarthen East and Dinefwr","https://twitter.com/JonathanPlaid","http://dbpedia.org/resource/Jonathan_Edwards_(Welsh_politician)",2014-04-15T16:09:08+01:00
"Clive Efford MP","Labour","","Eltham","https://twitter.com/CliveEfford","http://dbpedia.org/resource/Clive_Efford",2014-04-15T16:09:09+01:00
"Julie Elliott MP","Labour","","Sunderland Central","https://twitter.com/JulieElliottMP","http://dbpedia.org/resource/Julie_Elliott",2014-04-15T16:09:09+01:00
"Michael Ellis MP","Conservative","","Northampton North","https://twitter.com/Michael_Ellis1","http://dbpedia.org/resource/Michael_Ellis_(American_politician)",2014-04-15T16:09:09+01:00
"Jane Ellison MP","Conservative","","Battersea","https://twitter.com/janeellisonmp","http://dbpedia.org/resource/Jane_Ellison",2014-04-15T16:09:09+01:00
"Mrs Louise Ellman MP","Labour (Co-op)","","Liverpool, Riverside","https://twitter.com/LouiseEllman","URI_UNKNOWN",2014-04-15T16:09:09+01:00
"Mr Tobias Ellwood MP","Conservative","","Bournemouth East","https://twitter.com/TobiasEllwoodMP","http://dbpedia.org/resource/Tobias_Ellwood",2014-04-15T16:09:10+01:00
"Charlie Elphicke MP","Conservative","","Dover","https://twitter.com/CharlieElphicke","http://dbpedia.org/resource/Charlie_Elphicke",2014-04-15T16:09:10+01:00
"Natascha Engel MP","Labour","","North East Derbyshire","https://twitter.com/nengelmp","http://dbpedia.org/resource/Natascha_Engel",2014-04-15T16:09:10+01:00
"Bill Esterson MP","Labour","","Sefton Central","https://twitter.com/BillEstersonMP","http://dbpedia.org/resource/Bill_Esterson",2014-04-15T16:09:10+01:00
"George Eustice MP","Conservative","","Camborne and Redruth","TWITTER_UNKNOWN","http://dbpedia.org/resource/George_Eustice",2014-04-15T16:09:11+01:00
"Chris Evans MP","Labour (Co-op)","","Islwyn","TWITTER_UNKNOWN","http://dbpedia.org/resource/Chris_Evans_(Australian_politician)",2014-04-15T16:09:11+01:00
"Graham Evans MP","Conservative","","Weaver Vale","https://twitter.com/GrahamEvansMP","http://dbpedia.org/resource/Graham_Evans",2014-04-15T16:09:11+01:00
"Jonathan Evans","Conservative","","Cardiff North","https://twitter.com/JonathanEvansMP","http://dbpedia.org/resource/Jonathan_Evans_(politician)",2014-04-15T16:09:11+01:00
"Mr Nigel Evans MP","Independent","","Ribble Valley","TWITTER_UNKNOWN","http://dbpedia.org/resource/Nigel_Evans",2014-04-15T16:09:12+01:00
"Mr David Evennett","Conservative","","Bexleyheath and Crayford","https://twitter.com/DavidEvennett","http://dbpedia.org/resource/David_Evennett",2014-04-15T16:09:12+01:00
"Michael Fabricant MP","Conservative","","Lichfield","https://twitter.com/Mike_Fabricant","http://dbpedia.org/resource/Michael_Fabricant",2014-04-15T16:09:12+01:00
